attack_id,location_names,campaign_name,verified_attack_type,attack_date,number_killed,number_wounded
1224284004,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1982-11-11,115,28
252966201,Lebanon,"Hezbollah vs. U.S. & France","Confirmed Suicide",1983-04-18,63,120
-65942158,Lebanon,"Hezbollah vs. U.S. & France","Confirmed Suicide",1983-10-23,58,88
338923077,Lebanon,"Hezbollah vs. U.S. & France","Confirmed Suicide",1983-10-23,241,88
1596604401,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1983-11-04,60,10
489179294,Kuwait,"Hezbollah vs. U.S. & France","Confirmed Suicide",1983-12-12,6,62
1337055501,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1984-04-12,6,4
-641581578,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1984-06-16,0,5
-1340462525,Lebanon,"Hezbollah vs. U.S. & France","Confirmed Suicide",1984-09-20,23,40
-1705569733,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-02-05,100,100
-1905816468,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-03-10,12,14
-2056898343,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-03-12,3,1
598398716,Iran,"Isolated Attacks","Confirmed Suicide",1985-03-15,7,10
-2013076846,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-04-09,2,2
1760024679,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-04-20,2,2
-461824536,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-05-09,2,0
1793837891,Kuwait,"Isolated Attacks","Confirmed Suicide",1985-05-25,3,11
1224441653,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-06-15,23,36
-1097669349,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-07-09,2,2
-401886063,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-07-09,15,4
1224710563,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-07-15,12,0
834629172,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-07-31,1,2
-1919800447,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-08-06,0,1
20716957,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-08-15,1,0
-48914362,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-08-28,3,4
-258581685,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-09-03,0,7
-1026727620,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-09-11,1,12
-1002898168,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-09-18,30,0
-666330224,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-11-04,15,15
1553671324,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-11-12,5,24
-11173815,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1985-11-26,20,15
-2009297179,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1986-04-08,15,6
-783638719,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1986-07-17,10,13
2101431645,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1986-11-20,8,5
-1463071361,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1987-07-05,55,27
1370897987,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1987-11-11,6,73
-781119838,Lebanon,"Hezbollah vs. U.S. & France","Confirmed Suicide",1987-11-14,7,37
517073111,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1988-08-19,0,0
827770528,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1988-10-19,7,11
-1260861891,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1989-08-09,0,6
-666926787,Lebanon,"Palestinian Resistance vs. Israel","Confirmed Suicide",1989-10-30,0,3
-258042053,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1990-07-12,6,0
-1283553690,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1990-11-25,0,2
1246475102,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1990-11-27,5,1
293173438,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1991-03-19,0,0
1849162211,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1991-05-04,6,8
1782123892,India,"LTTE vs. Sri Lanka & India","Confirmed Suicide",1991-05-21,14,0
-832463680,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1991-06-21,60,60
2103500,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1992-11-16,4,0
1371831319,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1993-04-16,1,9
-1823289960,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1993-05-01,24,60
2092222244,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1993-08-29,12,0
846906566,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1993-10-04,0,30
1137104158,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1993-11-11,200,0
-470587257,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1993-12-13,0,3
-715689082,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1994-04-06,9,150
-294578190,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1994-04-13,6,25
302557478,Argentina,"Isolated Attacks","Confirmed Suicide",1994-07-18,85,200
941393230,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1994-08-02,1,2
109833702,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1994-08-10,0,0
-1349954965,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1994-09-19,35,0
-1118038832,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1994-10-19,22,48
1905202538,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1994-10-24,57,0
-1496203242,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1994-11-08,0,0
537240194,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1994-11-11,3,0
1117523630,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1994-12-25,0,13
-1719272104,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1995-01-22,21,50
1959987710,Algeria,"Isolated Attacks","Confirmed Suicide",1995-01-30,42,286
-613971756,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1995-04-09,7,45
1344604693,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1995-04-09,9,57
-608179237,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-04-19,16,22
-896612886,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1995-04-25,0,30
-1537561231,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1995-06-25,0,3
-156532582,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-07-16,10,0
917511821,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1995-07-24,8,33
1999775204,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-08-07,22,53
896252265,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1995-08-21,4,107
886656851,India,"BKI vs. India","Confirmed Suicide",1995-08-31,18,30
1589147021,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-09-10,0,0
529101693,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-10-17,9,6
2094671663,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-10-20,20,25
-1677025237,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-11-11,20,60
1183381087,Pakistan,"Isolated Attacks","Confirmed Suicide",1995-11-19,17,60
