attack_id,location_names,campaign_name,verified_attack_type,attack_date,number_killed,number_wounded
1370897987,Lebanon,"Hezbollah vs. Israel","Confirmed Suicide",1987-11-11,6,73
-781119838,Lebanon,"Hezbollah vs. U.S. & France","Confirmed Suicide",1987-11-14,7,37
-715689082,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1994-04-06,9,150
-294578190,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1994-04-13,6,25
302557478,Argentina,"Isolated Attacks","Confirmed Suicide",1994-07-18,85,200
-1118038832,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1994-10-19,22,48
-1719272104,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1995-01-22,21,50
-613971756,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1995-04-09,7,45
917511821,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1995-07-24,8,33
896252265,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1995-08-21,4,107
2094671663,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1995-10-20,20,25
-114514840,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1996-01-08,0,7
415247092,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1996-01-31,120,1400
1273314078,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1996-02-25,5,31
1360166379,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1996-02-25,24,50
318127688,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1996-03-03,18,10
860234452,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1996-03-04,14,130
-1463751263,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1997-03-21,3,48
929403286,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1997-04-01,0,7
-2100543043,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1997-07-30,18,170
-2014145562,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1997-09-04,7,172
-1999748987,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1997-10-15,20,100
392896550,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1998-01-25,13,25
352979252,India,"BKI vs. India","Confirmed Suicide",1998-02-27,1,2
-1063598888,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",1998-10-29,1,6
1214330541,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",1998-11-06,0,24
-2075258081,Turkey,"PKK vs. Turkey","Confirmed Suicide",1998-12-01,0,9
-1942778894,Finland,"Isolated Attacks","Confirmed Suicide",1999-03-08,0,7
985170050,"Sri Lanka","LTTE vs. Sri Lanka & India","Confirmed Suicide",1999-07-25,1,0
-247587657,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2000-12-22,1,9
975458768,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-01-01,0,35
485876100,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-03-04,3,66
-270081544,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-03-27,1,23
1106085676,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-03-28,2,4
143181088,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-04-22,2,50
1501618655,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2001-04-29,12,0
1998363464,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-05-18,7,110
-1723137641,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-05-25,2,65
-946572661,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2001-06-01,20,108
